"date","value"
"2017-11-03",45
"2017-11-04",42
"2017-11-05",43
"2017-11-06",49
"2017-11-07",49
"2017-11-08",46
"2017-11-09",49
"2017-11-10",56
"2017-11-11",45
"2017-11-12",42
"2017-11-13",53
"2017-11-14",100
"2017-11-15",79
"2017-11-16",63
"2017-11-17",53
"2017-11-18",40
"2017-11-19",47
"2017-11-20",48
"2017-11-21",53
"2017-11-22",44
"2017-11-23",42
"2017-11-24",45
"2017-11-25",39
"2017-11-26",42
"2017-11-27",47
